,DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName,Zipcode
2882,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,25,1,Good,15108
3119,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,42,1,Good,15143
3118,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,25,1,Good,15143
5118,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44405
4817,1/1/2023,0,EST,Mercer County,PA,41.262,-80.1875,PM2.5,41,1,Good,16156
4816,1/1/2023,0,EST,Mercer County,PA,41.262,-80.1875,OZONE,20,1,Good,16156
4174,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,16115
5990,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44455
1237,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44442
5873,1/1/2023,0,EST,Canton and Massillon,OH,40.7949,-81.4576,PM2.5,41,1,Good,44634
3001,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,42,1,Good,15015
1760,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44506
3000,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,25,1,Good,15015
5176,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44408
6456,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44503
120,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,16116
4116,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,16112
414,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,25,1,Good,15074
415,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,42,1,Good,15074
5466,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44443
6746,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44555
4058,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,16102
3237,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,42,1,Good,16066
3236,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,25,1,Good,16066
1121,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,16159
6106,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44471
1818,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44423
4582,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,16141
6630,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44505
5350,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44432
5640,1/1/2023,0,EST,Canton and Massillon,OH,40.7949,-81.4576,PM2.5,41,1,Good,44625
2527,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,42,1,Good,15081
2290,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,25,1,Good,15042
2291,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,42,1,Good,15042
1295,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44484
6398,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44502
354,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,16101
6164,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44473
178,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,16146
1644,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44413
5524,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44438
1528,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44515
237,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,42,1,Good,15003
236,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,25,1,Good,15003
2645,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,25,1,Good,15056
4348,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,16157
6223,1/1/2023,0,EST,Canton and Massillon,OH,40.7949,-81.4576,PM2.5,41,1,Good,44607
4758,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,16155
4406,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,16117
5292,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44425
6514,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44504
2526,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,25,1,Good,15081
1586,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44509
2646,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,42,1,Good,15056
4464,1/1/2023,0,EST,Mercer County,PA,41.262,-80.1875,OZONE,20,1,Good,16140
4465,1/1/2023,0,EST,Mercer County,PA,41.262,-80.1875,PM2.5,41,1,Good,16140
4232,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,16120
2883,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,42,1,Good,15108
1353,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44514
1702,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44452
2408,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,25,1,Good,15046
2409,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,42,1,Good,15046
5932,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44451
1411,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44672
4290,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,16143
6688,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44507
5582,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44437
2765,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,42,1,Good,15061
2764,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,25,1,Good,15061
5234,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44420
1470,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44445
6887,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44619
5060,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44403
1179,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44406
4640,1/1/2023,0,EST,Mercer County,PA,41.262,-80.1875,OZONE,20,1,Good,16142
5757,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44449
4641,1/1/2023,0,EST,Mercer County,PA,41.262,-80.1875,PM2.5,41,1,Good,16142
2050,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44401
3412,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,16132
3823,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,42,1,Good,16046
5815,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44512
3941,1/1/2023,0,EST,Mercer County,PA,41.262,-80.1875,PM2.5,41,1,Good,16057
532,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,25,1,Good,15001
3586,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,25,1,Good,16024
533,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,42,1,Good,15001
769,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,16121
3470,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,16136
3528,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,16160
5001,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44440
2108,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44431
885,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,25,1,Good,15005
3705,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,42,1,Good,16033
3704,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,25,1,Good,16033
6804,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44415
6340,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44493
886,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,42,1,Good,15005
5408,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44436
3822,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,25,1,Good,16046
1934,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44609
2172,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,42,1,Good,15027
652,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,42,1,Good,15090
6282,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44490
5699,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44446
2171,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,25,1,Good,15027
3354,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,16105
1876,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44511
3,1/1/2023,0,EST,Mercer County,PA,41.262,-80.1875,PM2.5,41,1,Good,16051
651,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,25,1,Good,15090
6572,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44510
2,1/1/2023,0,EST,Mercer County,PA,41.262,-80.1875,OZONE,20,1,Good,16051
3587,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,42,1,Good,16024
6048,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44460
1004,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,42,1,Good,15086
1003,1/1/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,25,1,Good,15086
4934,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,16161
3940,1/1/2023,0,EST,Mercer County,PA,41.262,-80.1875,OZONE,20,1,Good,16057
827,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,16148
1992,1/1/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,30,1,Good,44454
3605,1/10/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,76,2,Moderate,16024
5999,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,44455
3604,1/10/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,24,1,Good,16024
6896,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,44619
4299,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,16143
778,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,16121
1420,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,44672
5591,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,44437
2783,1/10/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,76,2,Moderate,15061
5069,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,44403
3723,1/10/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,76,2,Moderate,16033
5766,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,44449
4943,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,16161
1595,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,44509
6813,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,44415
5533,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,44438
4357,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,16157
4767,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,16155
1537,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,44515
3840,1/10/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,24,1,Good,16046
3841,1/10/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,76,2,Moderate,16046
5243,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,44420
6232,1/10/2023,0,EST,Canton and Massillon,OH,40.7949,-81.4576,PM2.5,61,2,Moderate,44607
3722,1/10/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,24,1,Good,16033
2663,1/10/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,24,1,Good,15056
2664,1/10/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,76,2,Moderate,15056
254,1/10/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,24,1,Good,15003
255,1/10/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,76,2,Moderate,15003
1479,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,44445
2782,1/10/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,24,1,Good,15061
6465,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,44503
836,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,16148
1362,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,44514
4125,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,16112
3136,1/10/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,24,1,Good,15143
4834,1/10/2023,0,EST,Mercer County,PA,41.262,-80.1875,OZONE,17,1,Good,16156
4835,1/10/2023,0,EST,Mercer County,PA,41.262,-80.1875,PM2.5,68,2,Moderate,16156
3421,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,16132
3137,1/10/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,76,2,Moderate,15143
5824,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,44512
5708,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,44446
432,1/10/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,24,1,Good,15074
433,1/10/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,76,2,Moderate,15074
5649,1/10/2023,0,EST,Canton and Massillon,OH,40.7949,-81.4576,PM2.5,61,2,Moderate,44625
6291,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,44490
1130,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,16159
6407,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,44502
3254,1/10/2023,0,EST,Pittsburgh,PA,40.434,-79.984,OZONE,24,1,Good,16066
3255,1/10/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,76,2,Moderate,16066
4067,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,16102
3363,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,16105
6755,1/10/2023,0,EST,Youngstown,OH,41.0992,-80.6464,PM2.5,61,2,Moderate,44555
1022,1/10/2023,0,EST,Pittsburgh,PA,40.434,-79.984,PM2.5,76,2,Moderate,15086
